    ID     Stage                Name                                     Start Time                      End Time               Duration       Result  
   131     RDT_MEMSTRESS        YM3_MPRIME                          2023-10-04 14:03:10            2023-10-04 22:50:48          08:47:39        fail   
   130     RDT_MEMSTRESS        YM_SEL_CLEAR                        2023-10-04 22:31:53            2023-10-04 22:31:54          00:00:02        pass   
   130     RDT_MEMSTRESS        YM_SEL_CLEAR                        2023-10-04 22:31:53            2023-10-04 22:31:54          00:00:01        pass   
   131     RDT_MEMSTRESS        YM3_MPRIME                          2023-10-04 22:32:19            2023-10-04 22:50:48          00:18:29        fail   
   124     RDT_MEMSTRESS        YM3_STRESSAPPTEST                   2023-10-04 23:29:24            2023-10-05 01:00:12          01:30:48        pass   
   125     RDT_MEMSTRESS        YM3_SEL_CHECK                       2023-10-05 01:00:12            2023-10-05 01:00:13          00:00:01        pass   
   126     RDT_MEMSTRESS        YM3_DMESG_CHECK                     2023-10-05 01:00:13            2023-10-05 01:00:13          00:00:01        pass   
   127     RDT_MEMSTRESS        YM3_MESSAGES_CHECK                  2023-10-05 01:00:13            2023-10-05 01:00:14          00:00:01        pass   
   128     RDT_MEMSTRESS        NETLAKE_SDR_CHECK                   2023-10-05 01:00:14            2023-10-05 01:00:15          00:00:01        pass   
   129     RDT_MEMSTRESS        YM3_MCE_CHECK                       2023-10-05 01:00:15            2023-10-05 01:00:16          00:00:01        pass   
   130     RDT_MEMSTRESS        YM_SEL_CLEAR                        2023-10-05 01:00:16            2023-10-05 01:00:17          00:00:01        pass   
   131     RDT_MEMSTRESS        YM3_MPRIME                          2023-10-05 01:00:17            2023-10-05 02:40:22          01:40:05        pass   
   132     RDT_MEMSTRESS        YM3_SEL_CHECK                       2023-10-05 02:40:22            2023-10-05 02:40:22          00:00:01        pass   
   133     RDT_MEMSTRESS        YM3_DMESG_CHECK                     2023-10-05 02:40:22            2023-10-05 02:40:23          00:00:01        pass   
   134     RDT_MEMSTRESS        YM3_MESSAGES_CHECK                  2023-10-05 02:40:23            2023-10-05 02:40:23          00:00:01        pass   
   135     RDT_MEMSTRESS        NETLAKE_SDR_CHECK                   2023-10-05 02:40:23            2023-10-05 02:40:25          00:00:02        pass   
   136     RDT_MEMSTRESS        YM3_MCE_CHECK                       2023-10-05 02:40:25            2023-10-05 02:40:25          00:00:01        pass   
